City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Butaritari,3.07,172.79,81.16,75,81,12.55,KI,1605234119
Richards Bay,-28.78,32.04,61.83,83,9,5.79,ZA,1605234120
Port Elizabeth,-33.92,25.57,62.6,93,0,10.29,ZA,1605234120
Margate,51.38,1.39,53.01,66,86,5.01,GB,1605234121
Faanui,-16.48,-151.75,79.99,74,69,10.22,PF,1605234121
Provideniya,64.38,-173.3,30.2,74,90,17.9,RU,1605233851
Oranjemund,-28.55,16.43,63.61,62,0,2.15,NA,1605234122
Lagoa,39.05,-27.98,63.79,86,3,8.48,PT,1605233846
Mossamedes,-15.2,12.15,71.08,81,54,7.23,AO,1605234123
Cullman,34.17,-86.84,54.0,93,1,3.36,US,1605234123
Flinders,-34.58,150.86,82.99,62,100,1.99,AU,1605233909
Tasiilaq,65.61,-37.64,23.0,57,55,3.36,GL,1605233931
Hithadhoo,-0.6,73.08,81.97,78,100,18.88,MV,1605233943
Ponta do Sol,32.67,-17.1,68.0,82,20,9.17,PT,1605233924
Bluff,-46.6,168.33,60.66,54,0,6.17,NZ,1605234125
Evensk,61.95,159.23,5.23,86,96,8.34,RU,1605234126
Wewak,-3.55,143.63,84.87,68,56,6.87,PG,1605233978
Lorengau,-2.02,147.27,86.86,63,99,7.23,PG,1605234127
Ko Samui,9.54,99.94,78.8,83,20,11.41,TH,1605234127
Kolomna,55.08,38.78,37.4,86,75,2.24,RU,1605234128
Mount Isa,-20.73,139.5,96.8,28,0,10.29,AU,1605233971
East London,-33.02,27.91,65.8,81,15,20.54,ZA,1605234128
Mataura,-46.19,168.86,77.09,21,0,10.07,NZ,1605234129
Taoudenni,22.68,-3.98,73.29,21,0,14.94,ML,1605234130
Cape Town,-33.93,18.42,60.8,77,0,10.29,ZA,1605234054
Nome,64.5,-165.41,28.99,92,90,5.19,US,1605233834
Pevek,69.7,170.31,7.05,93,54,5.37,RU,1605234131
Houston,29.76,-95.36,73.99,64,90,6.93,US,1605233467
Port Alfred,-33.59,26.89,65.16,83,0,22.91,ZA,1605234132
Cherskiy,68.75,161.3,1.87,93,96,6.04,RU,1605234132
Pavlodar,52.3,76.95,23.0,92,90,13.42,KZ,1605234132
Tanout,14.97,8.89,70.52,26,10,10.96,NE,1605234133
Road Town,18.42,-64.62,80.01,84,66,14.0,VG,1605234127
New Norfolk,-42.78,147.06,73.99,56,78,3.0,AU,1605234134
Victor Harbor,-35.57,138.62,63.0,60,82,10.16,AU,1605234134
Naze,28.37,129.48,73.4,56,40,17.22,JP,1605233885
Bengkulu,-3.8,102.27,84.94,66,70,1.36,ID,1605234135
Portland,45.52,-122.68,48.99,66,90,5.82,US,1605233565
Hobart,-42.88,147.33,73.99,42,75,9.17,AU,1605234117
Torbay,47.67,-52.73,46.99,87,40,13.87,CA,1605234136
Sitka,57.05,-135.33,37.4,93,90,9.17,US,1605234136
Mingora,34.78,72.36,56.71,32,100,4.52,PK,1605234137
Whitecourt,54.15,-115.69,30.2,46,90,3.36,CA,1605234137
Yong’an,39.7,113.69,45.9,53,0,5.06,CN,1605234138
Saskylakh,71.92,114.08,-12.35,89,76,1.25,RU,1605233914
Korocha,50.81,37.2,24.8,92,0,4.47,RU,1605234138
Jaen,38.0,-3.5,54.0,79,90,5.01,ES,1605234139
Sokoni,-6.43,39.55,79.25,82,55,9.8,TZ,1605234139
Klaksvík,62.23,-6.59,46.4,93,100,26.4,FO,1605234140
Klyuchi,52.27,79.17,23.99,96,4,10.09,RU,1605234140
Chui,-33.7,-53.46,64.94,87,100,9.82,UY,1605234141
Tankhoy,51.55,105.13,39.65,72,50,6.67,RU,1605234141
La Ronge,55.1,-105.28,6.8,84,89,8.05,CA,1605234142
Dikson,73.51,80.55,4.12,95,100,6.13,RU,1605234142
Chokurdakh,70.63,147.92,-12.93,90,68,3.67,RU,1605233928
Laguna,38.42,-121.42,55.4,53,1,2.26,US,1605234057
São João da Barra,-21.64,-41.05,71.58,95,100,16.58,BR,1605234143
Jamestown,42.1,-79.24,37.4,69,1,6.93,US,1605234099
Akhmeta,42.03,45.21,44.6,93,90,4.7,GE,1605234144
Tiksi,71.69,128.87,1.04,94,98,2.73,RU,1605234145
Cabo San Lucas,22.89,-109.91,72.0,60,5,10.29,MX,1605234032
Dekar,-21.53,21.93,71.28,57,37,9.64,BW,1605234146
Ulaangom,49.98,92.07,25.27,87,99,2.57,MN,1605234146
Denpasar,-8.65,115.22,89.6,75,20,10.29,ID,1605233969
Lompoc,34.64,-120.46,53.6,87,90,6.93,US,1605234148
Otradnoye,59.78,30.82,39.0,91,87,3.4,RU,1605234148
Kieta,-6.22,155.63,83.52,76,77,6.08,PG,1605234148
Gorontalo,0.54,123.06,90.05,56,54,3.56,ID,1605234149
Hilo,19.73,-155.09,80.6,69,90,14.99,US,1605234000
Norman Wells,65.28,-126.83,6.8,77,90,10.29,CA,1605234150
Ygatimi,-24.08,-55.5,71.53,82,0,0.96,PY,1605234150
Xining,36.62,101.77,42.69,58,0,1.74,CN,1605234151
Xichang,27.9,102.26,60.55,64,12,1.23,CN,1605234151
New Richmond,45.12,-92.54,26.6,68,90,6.93,US,1605234152
George Town,5.41,100.34,80.6,83,20,2.24,MY,1605233931
Rāichūr,16.2,77.37,72.28,87,99,9.48,IN,1605234153
Barrow,71.29,-156.79,10.4,78,90,8.05,US,1605233855
Urusha,54.05,122.9,21.65,90,0,3.2,RU,1605234154
Ambositra,-20.52,47.25,58.53,91,0,2.71,MG,1605234154
Tupik,54.43,119.93,21.56,89,2,2.46,RU,1605234155
Leningradskiy,69.38,178.42,16.39,94,100,12.55,RU,1605234155
Yelizovo,53.19,158.38,41.0,44,40,13.42,RU,1605234156
Amuntai,-2.42,115.25,92.57,51,88,2.37,ID,1605234157
Touros,-5.2,-35.46,78.8,83,40,10.29,BR,1605233921
Cidreira,-30.18,-50.21,67.19,93,0,6.58,BR,1605234157
Husavik,66.04,-17.34,35.6,91,90,6.93,IS,1605234158
Westport,41.14,-73.36,48.2,87,90,4.7,US,1605233978
Geraldton,-28.77,114.6,71.6,64,90,10.29,AU,1605234159
Neiafu,-18.65,-173.98,80.6,83,75,12.75,TO,1605234159
Ormara,25.21,64.64,77.18,47,0,5.93,PK,1605234159
Korla,41.76,86.15,39.99,77,0,4.07,CN,1605234160
Hongjiang,27.11,110.0,64.92,53,0,3.13,CN,1605234160
Mazamet,43.49,2.37,57.2,71,0,26.4,FR,1605234161
Benguela,-12.58,13.41,77.27,80,100,1.14,AO,1605234161
Glazov,58.14,52.66,20.79,94,55,7.83,RU,1605234161
Atuona,-9.8,-139.03,78.22,71,15,13.04,PF,1605234162
Mahébourg,-20.41,57.7,69.8,94,40,6.93,MU,1605234162
Arraial do Cabo,-22.97,-42.03,72.81,94,100,13.67,BR,1605234163
Ambon City,-3.7,128.18,87.8,70,20,5.82,ID,1605234163
Alice Springs,-23.7,133.88,95.0,8,0,10.29,AU,1605233924
Coyhaique,-45.58,-72.07,50.0,81,90,6.93,CL,1605234164
Saint-Augustin,51.23,-58.65,32.25,90,100,6.11,CA,1605234164
Grand Gaube,-20.01,57.66,73.99,81,2,1.99,MU,1605234165
Oban,56.41,-5.47,50.0,91,100,4.0,GB,1605234165
Mthatha,-31.59,28.78,57.2,100,40,5.82,ZA,1605234086
Saint-Philippe,-21.36,55.77,71.6,60,0,5.82,RE,1605233926
Jiwani,25.05,61.74,72.82,63,0,5.1,PK,1605234167
Kalabo,-14.97,22.68,67.35,88,100,4.21,ZM,1605233872
Hambantota,6.12,81.12,75.2,100,20,2.24,LK,1605233923
Mocuba,-16.84,36.99,71.73,92,94,4.03,MZ,1605234168
Coronado,32.69,-117.18,62.6,72,40,8.05,US,1605233881
Saldanha,-33.01,17.94,67.39,52,0,4.52,ZA,1605234169
Batemans Bay,-35.72,150.18,73.99,57,52,5.99,AU,1605233958
Marsh Harbour,26.54,-77.06,79.3,81,100,13.15,BS,1605234170
Lokosovo,61.13,74.82,16.81,97,100,2.17,RU,1605234171
Belaya Gora,68.53,146.42,-17.93,89,27,1.68,RU,1605234171
Saravan,39.72,45.65,33.8,80,20,6.93,AM,1605234171
Hanmer Springs,-42.52,172.82,77.7,28,27,7.85,NZ,1605234172
Olafsvik,64.89,-23.71,38.34,88,98,14.67,IS,1605233939
Karaton,-6.34,106.1,86.0,70,40,12.75,ID,1605234173
Kandi,11.13,2.94,70.7,32,0,4.41,BJ,1605234173
Pangoa,-12.12,-73.0,68.97,96,99,3.2,PE,1605234173
Yima,34.74,111.88,62.01,99,0,17.69,CN,1605234174
Buluang,13.31,123.34,87.78,63,1,3.91,PH,1605234174
San Juan,-31.54,-68.54,83.07,36,52,12.88,AR,1605234175
Guerrero Negro,27.98,-114.06,64.27,71,98,12.21,MX,1605234175
Upernavik,72.79,-56.15,14.04,93,100,27.27,GL,1605234176
Plátanos,37.67,21.62,53.6,87,0,2.24,GR,1605234176
Longyearbyen,78.22,15.64,33.8,69,40,16.11,SJ,1605234176
Avera,33.19,-82.53,71.6,95,90,4.7,US,1605234177
Te Anau,-45.42,167.72,66.22,37,0,9.64,NZ,1605234177
Pulandian,39.4,121.97,53.6,30,0,8.95,CN,1605233989
Adrar,20.5,-10.07,76.14,19,5,6.69,MR,1605234178
Yafran,32.06,12.53,54.07,83,100,1.45,LY,1605234178
Ancud,-41.87,-73.82,52.0,93,75,3.36,CL,1605234179
Yar-Sale,66.83,70.83,1.15,93,86,8.7,RU,1605234179
Botshabelo,-29.27,26.71,57.2,71,0,4.7,ZA,1605234180
Nandu,22.85,110.82,71.01,59,0,5.82,CN,1605234180
Port Hardy,50.7,-127.42,42.8,93,75,6.93,CA,1605234181
Talavera de la Reina,39.96,-4.83,50.99,63,100,6.58,ES,1605234181
Novoil'insk,51.68,108.71,29.03,88,0,2.26,RU,1605234181
Yangi Marg`ilon,40.43,71.72,44.6,87,75,4.7,UZ,1605233888
Northam,51.03,-4.22,54.0,93,59,11.01,GB,1605234182
Honningsvåg,70.98,25.97,40.48,83,100,22.97,NO,1605234183
Inírida,3.87,-67.92,76.01,94,69,2.77,CO,1605234183
Wanaka,-44.7,169.15,72.54,30,0,11.05,NZ,1605234184
Gold Coast,-28.0,153.43,75.2,60,75,5.82,AU,1605234185
Lebu,-37.62,-73.65,53.37,94,100,7.67,CL,1605234185
Rognan,67.1,15.39,42.01,75,100,8.23,NO,1605234185
Narsaq,60.92,-46.05,17.6,72,99,4.7,GL,1605234186
Bambous Virieux,-20.34,57.76,73.99,94,40,6.93,MU,1605234186
Fortuna,40.6,-124.16,46.99,93,1,2.68,US,1605234187
Srednekolymsk,67.45,153.68,-12.35,89,97,3.51,RU,1605233912
Şabyā,17.15,42.63,82.4,78,51,0.94,SA,1605234044
Bayangol,50.7,103.47,25.52,83,0,1.9,RU,1605234188
Beira,-19.84,34.84,78.01,69,75,12.75,MZ,1605234188
Esperance,-33.87,121.9,71.6,53,40,17.22,AU,1605234189
São Filipe,14.9,-24.5,81.57,59,0,4.25,CV,1605234189
Grindavik,63.84,-22.43,37.4,93,90,6.93,IS,1605234190
Port Hedland,-20.32,118.57,102.2,26,0,9.17,AU,1605234190
Coquimbo,-29.95,-71.34,55.4,82,46,6.93,CL,1605234191
Morondava,-20.28,44.28,72.14,84,0,6.33,MG,1605233986
Kapaa,22.08,-159.32,80.6,61,40,18.34,US,1605234192
Caravelas,-17.71,-39.25,75.09,78,100,9.6,BR,1605233972
Saint Paul Harbor,57.79,-152.41,41.0,56,1,27.51,US,1605233912
Chisindia,46.28,22.1,45.0,100,75,5.82,RO,1605234193
Malbug,9.73,123.34,87.8,74,40,4.7,PH,1605234193
Macia,-25.03,33.1,63.68,88,64,2.42,MZ,1605234194
Changli,39.7,119.15,54.48,38,0,8.95,CN,1605234194
Gangāpur,26.48,76.72,64.89,42,0,4.52,IN,1605234194
Dingle,11.0,122.67,85.41,71,89,1.79,PH,1605233930
Tranås,58.04,14.98,41.0,100,100,5.82,SE,1605234195
Tadine,-21.55,167.88,78.26,72,100,5.68,NC,1605234196
Faya,18.39,42.45,59.0,93,13,0.92,SA,1605234196
Kahului,20.89,-156.47,82.4,58,40,16.11,US,1605233919
Hamilton,39.18,-84.53,44.6,60,1,4.7,US,1605233953
Vestmanna,62.16,-7.17,48.2,100,100,23.04,FO,1605233975
Bathsheba,13.22,-59.52,77.0,88,75,9.17,BB,1605234198
Bowen,-20.02,148.23,84.2,51,90,11.41,AU,1605233937
Toamasina,-18.17,49.38,73.4,83,40,5.82,MG,1605234198
Santa,17.49,120.43,85.95,66,61,1.88,PH,1605234199
Makar'yev,57.88,43.81,29.34,98,83,6.67,RU,1605234199
Ahipara,-35.17,173.17,64.85,66,61,2.33,NZ,1605234200
Kavieng,-2.57,150.8,85.12,66,41,4.83,PG,1605234200
Delcevo,41.97,22.77,40.73,82,58,1.36,MK,1605234201
Saint George,37.1,-113.58,50.0,42,40,4.7,US,1605233912
Kurush,41.28,47.83,46.4,93,90,1.92,RU,1605234201
Namatanai,-3.67,152.43,84.72,72,60,3.71,PG,1605233938
Mumford,5.26,-0.76,79.38,85,0,6.78,GH,1605234202
Henties Bay,-22.12,14.28,61.0,89,0,1.01,NA,1605234203
Yumen,40.28,97.2,37.31,61,0,8.08,CN,1605234203
Arcata,40.87,-124.08,46.99,93,1,5.82,US,1605234203
Canberra,-35.28,149.13,73.99,56,90,9.17,AU,1605234204
Beringovskiy,63.05,179.32,22.57,95,100,18.43,RU,1605233952
Deputatsky,69.3,139.9,-15.68,90,38,1.88,RU,1605234205
Lishu,43.3,124.33,40.46,59,0,1.95,CN,1605234205
Askarovo,53.34,58.51,23.0,79,90,13.42,RU,1605234206
San Fernando,15.03,120.69,86.0,74,75,11.41,PH,1605234206
Tauranga,-37.69,176.17,72.0,59,2,5.99,NZ,1605234207
Yārāda,17.65,83.27,78.8,61,20,4.7,IN,1605234207
Lata,40.16,-8.33,60.01,90,100,3.56,PT,1605234207
Nouadhibou,20.93,-17.03,71.6,56,100,11.41,MR,1605234208
Kuril'sk,45.23,147.88,49.55,73,20,15.21,RU,1605233961
Tuatapere,-46.13,167.68,70.3,35,0,2.82,NZ,1605234209
Hasaki,35.73,140.83,64.0,63,20,6.93,JP,1605234209
Sioux Lookout,50.1,-91.92,23.0,79,90,6.93,CA,1605234210
Patnos,39.23,42.86,31.26,93,0,1.03,TR,1605234211
Vendôme,47.8,1.07,51.8,93,90,8.05,FR,1605234211
Bodh Gaya,24.7,84.98,64.4,88,0,1.39,IN,1605234128
Kupang,-10.17,123.58,89.6,55,40,5.82,ID,1605234213
Vardø,70.37,31.11,39.9,82,100,24.81,NO,1605234213
Progreso,21.28,-89.67,79.0,88,40,6.93,MX,1605234006
Krasnyy Chikoy,50.36,108.75,27.95,88,0,3.62,RU,1605233998
Lake Charles,30.21,-93.2,68.0,77,5,5.1,US,1605234162
Marabba,12.35,32.18,77.23,22,0,12.17,SD,1605234215
Krasnogorsk,55.82,37.32,37.0,100,90,4.47,RU,1605234215
Novyy Oskol,50.76,37.87,30.43,93,0,2.24,RU,1605234216
Bloomington,44.84,-93.3,25.0,68,90,11.41,US,1605234056
Kikwit,-5.04,18.82,68.83,98,100,2.95,CD,1605234216
Kosh-Agach,50.0,88.67,20.12,88,62,2.48,RU,1605234217
Muzhi,65.37,64.67,-1.5,93,93,5.59,RU,1605234217
Noumea,-22.28,166.46,86.0,58,75,9.17,NC,1605233943
Anloga,5.79,0.9,78.8,88,20,4.7,GH,1605234218
Korem,12.51,39.52,45.84,88,86,3.42,ET,1605234218
Lhokseumawe,5.18,97.15,82.67,74,100,3.18,ID,1605233981
Verkhotur'ye,58.86,60.81,21.04,95,100,11.1,RU,1605234220
Brazzaville,-4.27,15.28,75.2,83,20,3.36,CG,1605234029
Praia da Vitória,38.73,-27.07,57.2,93,40,4.72,PT,1605234220
Opuwo,-18.06,13.84,70.09,66,100,2.21,NA,1605234221
Mindyak,54.02,58.79,23.0,79,90,13.42,RU,1605234221
Bintulu,3.17,113.03,86.0,79,20,5.82,MY,1605233979
Liverpool,53.41,-2.98,52.0,87,100,13.87,GB,1605234222
Berlevåg,70.86,29.09,37.92,81,100,15.41,NO,1605234222
Palauig,15.44,119.9,86.13,68,100,10.25,PH,1605234223
Shizunai-furukawachō,42.33,142.37,51.39,73,100,9.17,JP,1605234203
Jaciara,-15.97,-54.97,71.22,89,42,0.78,BR,1605234224
Ust-Tsilma,65.44,52.15,15.93,94,0,2.15,RU,1605234224
Severo-Yeniseyskiy,60.37,93.04,13.32,97,100,0.51,RU,1605233955
Porto-Novo,6.5,2.6,78.21,87,1,3.67,BJ,1605234225
Betioky,-23.72,44.38,66.45,83,0,7.18,MG,1605234225
Isla Mujeres,21.23,-86.73,78.8,94,75,4.7,MX,1605234226
Mandalgovi,45.76,106.27,32.54,74,100,6.85,MN,1605234226
Santa Rosalía,27.32,-112.28,61.45,68,48,1.19,MX,1605234226
Saraland,30.82,-88.07,62.01,93,1,4.12,US,1605234011
Naryan-Mar,67.67,53.09,15.67,96,0,4.68,RU,1605234227
Sarkand,45.41,79.92,33.48,91,100,2.01,KZ,1605234228
Brigantine,39.41,-74.36,53.01,93,90,6.93,US,1605234228
Baykit,61.67,96.37,11.3,93,100,1.95,RU,1605234229
Orangeburg,33.49,-80.86,66.99,100,90,5.82,US,1605234229
Thompson,55.74,-97.86,-16.6,82,5,2.24,CA,1605234229
Wajir,1.75,40.06,76.84,79,0,10.76,KE,1605234230
Calama,-22.47,-68.93,53.6,17,0,5.82,CL,1605234230
Cururupu,-1.83,-44.87,76.64,92,76,2.89,BR,1605234231
Lavrentiya,65.58,-171.0,27.01,93,100,22.82,RU,1605234231
Gualdo Tadino,43.23,12.78,48.0,96,0,1.74,IT,1605234232
Paita,-5.09,-81.11,63.25,88,60,11.61,PE,1605233997
Puerto Escondido,15.85,-97.07,80.6,74,75,3.36,MX,1605234232
Dera Ghazi Khan,30.06,70.63,60.22,33,0,1.61,PK,1605234233
Lastoursville,-0.81,12.73,72.03,94,100,2.06,GA,1605234233
Penzance,50.12,-5.54,53.6,93,78,21.92,GB,1605233969
Kachug,53.96,105.88,25.5,90,100,2.44,RU,1605234234
Alofi,-19.06,-169.92,84.2,66,40,12.75,NU,1605233960
Lüderitz,-26.65,15.16,60.21,78,0,14.18,NA,1605234235
Emerald,-23.53,148.17,91.4,29,0,13.87,AU,1605234236
Kaniama,-7.57,24.18,65.03,96,100,3.33,CD,1605234236
Talnakh,69.49,88.4,-9.4,76,0,17.9,RU,1605234236
Seymchan,62.88,152.43,-11.51,87,91,1.81,RU,1605234237
Iquitos,-3.75,-73.25,77.0,94,75,2.24,PE,1605234237
Saint-François,46.42,3.91,48.99,93,0,2.24,FR,1605233967
Qaanaaq,77.48,-69.36,10.56,80,100,9.04,GL,1605234238
Natal,-5.79,-35.21,78.8,78,40,13.87,BR,1605234144
Tres Arroyos,-38.37,-60.28,58.89,94,4,9.48,AR,1605234239
Hualmay,-11.1,-77.61,62.51,87,65,7.49,PE,1605234239
Vila Franca do Campo,37.72,-25.43,60.8,72,40,8.05,PT,1605234240
Aklavik,68.22,-135.01,-2.2,84,100,8.05,CA,1605234230
Santa Lucía,27.91,-15.54,69.8,88,40,2.24,ES,1605234240
Rieti,42.41,12.86,48.99,86,0,4.7,IT,1605234241
Superior,46.72,-92.1,26.6,73,90,9.17,US,1605234241
Luz,-19.8,-45.69,71.85,82,64,3.98,BR,1605234242
Līsakovsk,52.54,62.49,25.38,90,99,16.51,KZ,1605234242
Arlit,18.74,7.39,69.22,25,63,7.92,NE,1605234242
Shingū,33.73,135.98,69.8,64,75,6.93,JP,1605234243
Dubovka,49.06,44.83,24.8,79,0,6.71,RU,1605234244
Saldus,56.66,22.49,43.0,73,100,5.01,LV,1605234245
Vila,42.03,-8.16,48.0,93,85,2.82,PT,1605234245
Mount Gambier,-37.83,140.77,60.8,72,75,16.11,AU,1605234246
Labuhan,-6.88,112.21,87.4,64,81,5.77,ID,1605234247
Kudahuvadhoo,2.67,72.89,82.8,72,100,7.11,MV,1605234248
Melfi,41.0,15.65,48.0,98,100,2.93,IT,1605234248
Arman',59.7,150.17,9.37,86,1,6.91,RU,1605234249
General Roca,-39.03,-67.58,69.8,46,0,6.93,AR,1605234249
Urucará,-2.54,-57.76,82.38,67,85,1.34,BR,1605234250
Waipawa,-41.41,175.52,63.0,67,41,24.16,NZ,1605234250
Cockburn Town,21.46,-71.14,81.77,75,90,25.23,TC,1605234250
Praia,14.92,-23.51,77.0,78,0,12.75,CV,1605234251
Sterling,39.01,-77.43,50.0,66,90,11.41,US,1605234251
Rudnogorsk,57.26,103.75,22.8,96,100,2.21,RU,1605234252
College,64.86,-147.8,12.0,77,40,1.5,US,1605234252
Zhezkazgan,47.8,67.71,19.4,92,90,8.95,KZ,1605234241
Shelburne,44.08,-80.2,35.01,67,66,5.01,CA,1605234253
San Vicente,-26.62,-54.13,63.68,92,0,2.35,AR,1605234253
New Waterford,40.85,-80.61,42.8,81,1,3.89,US,1605234254
Bāgli,22.65,76.35,60.8,77,20,4.7,IN,1605234254
Riacho de Santana,-13.61,-42.94,72.36,71,45,4.56,BR,1605234255
Semey,50.41,80.23,24.8,73,75,8.95,KZ,1605234256
Tsimmerbude,54.67,20.13,41.0,93,90,8.95,RU,1605233959
Yuci,37.68,112.73,53.6,20,0,8.95,CN,1605234257
Gimli,50.63,-96.99,14.0,78,6,3.36,CA,1605234257
Rocha,-34.48,-54.33,58.71,96,15,3.69,UY,1605233989
Bonthe,7.53,-12.51,78.76,86,0,3.27,SL,1605234258
Necochea,-38.55,-58.74,64.99,85,0,8.01,AR,1605234258
Codrington,-38.27,141.97,57.94,85,99,12.88,AU,1605233960
Freeport,40.66,-73.58,48.99,87,90,6.93,US,1605234063
Inhambane,-23.86,35.38,66.51,76,0,7.72,MZ,1605234249
Ixtapa,20.7,-105.2,78.8,74,5,8.05,MX,1605233983
Quatre Cocos,-20.21,57.76,75.0,94,40,6.93,MU,1605234260
Sines Municipality,37.96,-8.87,61.0,82,100,5.01,PT,1605234261
Carupano,10.67,-63.26,79.36,86,76,10.83,VE,1605234261
Il’inskiy,55.62,38.12,37.4,86,75,2.24,RU,1605234262
Kichera,55.94,110.1,24.96,89,69,2.04,RU,1605234262
Soller,39.77,2.72,57.99,87,100,6.93,ES,1605234262
Biak,-0.91,122.88,86.16,62,2,1.59,ID,1605234263
Canto do Buriti,-8.11,-42.94,77.56,61,0,1.59,BR,1605234263
Pacific Grove,36.62,-121.92,52.0,76,1,4.7,US,1605234264
Santa Isabel Rio Negro,-0.41,-65.02,75.2,94,100,0.76,BR,1605234264
Pyapon,16.28,95.68,79.18,83,14,8.14,MM,1605234264
Padang,-0.95,100.35,84.7,63,90,1.77,ID,1605234265
Boyuibe,-20.42,-63.28,68.52,89,31,3.29,BO,1605234265
Lamar,33.67,-95.58,62.01,63,20,8.05,US,1605234266
Mangan,27.52,88.53,70.7,22,0,3.22,IN,1605234266
Suntar,62.14,117.63,23.79,95,84,8.23,RU,1605234266
Isangel,-19.55,169.27,81.28,67,100,4.45,VU,1605234267
Copiapó,-27.37,-70.33,59.0,72,0,6.93,CL,1605234267
Rio Grande,-32.03,-52.1,66.99,95,50,7.07,BR,1605234268
Bagacay,12.98,124.14,83.32,76,21,7.58,PH,1605234268
Obigarm,38.72,69.71,41.04,80,100,5.57,TJ,1605234269
Port Lincoln,-34.73,135.87,58.78,62,99,11.52,AU,1605234269
Vila Velha,-20.33,-40.29,77.0,78,75,5.82,BR,1605234269
Le Port,-20.94,55.29,69.8,73,0,6.93,RE,1605234022
